artist,song,genre,era,url
T.I.,Whatever You Like,Hip-Hop,2000s,https://www.youtube.com/watch?v=nQJACVmankY
Talking Heads,Once in a Lifetime,Alternative,1980s,https://www.youtube.com/watch?v=5IsSpAOD6K8
Talking Heads,Psycho Killer,Alternative,1970s,https://www.youtube.com/watch?v=CJ54eImz88w
Taylor Swift,Shake It Off,Pop,2010s,https://www.youtube.com/watch?v=nfWlot6h_JM
Tears for Fears,Everybody Wants to Rule the World,Pop,1980s,https://www.youtube.com/watch?v=aGCdLKXNF3w
Temple of the Dog,Hunger Strike,Alternative,1990s,https://www.youtube.com/watch?v=VUb450Alpps
Tesla,Signs,Rock,1980s,https://www.youtube.com/watch?v=MqcXPAiXly8
The 1975,Chocolate,Alternative,2010s,https://www.youtube.com/watch?v=CHk5SWVO4p8
The B-52's,Love Shack,Pop,1980s,https://www.youtube.com/watch?v=9SOryJvTAGs
The Backseat Lovers,Kilby Girl,Alternative,2020s,https://www.youtube.com/watch?v=6ZZghJG0d0E
THE BAND FEEL,Goodbye Virginia,Rock,2020s,https://www.youtube.com/watch?v=yizQEjHW628
The Boomtown Rats,I Don't Like Mondays,Pop,1970s,https://www.youtube.com/watch?v=lHHAbze03Z4
The Buggles,Video Killed the Radio Star,Pop,1980s,https://www.youtube.com/watch?v=W8r-tXRLazs
The Cars,Drive,Rock,1980s,https://www.youtube.com/watch?v=xuZA6qiJVfU
The Clash,London Calling,Alternative,1970s,https://www.youtube.com/watch?v=EfK-WX2pa8c
The Cranberries,Zombie,Alternative,1990s,https://www.youtube.com/watch?v=6Ejga4kJUts
The Cure,Just Like Heaven,Alternative,1980s,https://www.youtube.com/watch?v=n3nPiBai66M
The Killers,Mr. Brightside,Alternative,2000s,https://www.youtube.com/watch?v=gGdGFtwCNBE
The New Radicals,You Get What You Give,Alternative,1990s,https://www.youtube.com/watch?v=DL7-CKirWZE
The Notorious B.I.G.,Juicy,Hip-Hop,1990s,https://www.youtube.com/watch?v=_JZom_gVfuw
The Notorious B.I.G.,Hypnotize,Hip-Hop,1990s,https://www.youtube.com/watch?v=glEiPXAYE-U
The Police,Every Breath You Take,Rock,1980s,https://www.youtube.com/watch?v=OMOGaugKpzs
The Police,Message in a Bottle,Rock,1980s,https://www.youtube.com/watch?v=MbXWrmQW-OE
The Police,Don't Stand So Close to Me,Rock,1980s,https://www.youtube.com/watch?v=KNIZofPB8ZM
The Smiths,How Soon Is Now?,Alternative,1980s,https://www.youtube.com/watch?v=hnpILIIo9ek
The Sugarhill Gang,Rapper's Delight,Hip-Hop,1970s,https://www.youtube.com/watch?v=mcCK99wHrk0
The Teddybears w Iggy Pop,Punkrocker,Alternative,2000s,https://www.youtube.com/watch?v=8P09rxVaQAM
The Toadies,Possum Kingdom,Alternative,1990s,https://www.youtube.com/watch?v=EkwD5rQ-_d4
The Verve,Bitter Sweet Symphony,Alternative,1990s,https://www.youtube.com/watch?v=1lyu1KKwC74
The Weeknd,Blinding Lights,Pop,2010s,https://www.youtube.com/watch?v=4NRXx6U8ABQ
The White Stripes,Seven Nation Army,Rock,2000s,https://www.youtube.com/watch?v=0J2QdDbelmY
Third Eye Blind,Semi-Charmed Life,Alternative,1990s,https://www.youtube.com/watch?v=beINamVRGy4
